Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss
06-04-2014,19,23.8,20.3,96,30.3,4.2
07-04-2014,18,27.4,22.3,82,99.2,1
08-04-2014,19,28.8,22.6,82,0,6.3
09-04-2014,19,27.6,22.3,81,0,5.8
10-04-2014,18,25.2,21.4,92,26.8,4.3
11-04-2014,18,25,21,88,1.8,2.2
12-04-2014,18,26.6,21.9,87,7.8,1.6
13-04-2014,18,25.8,21.1,86,0,3
14-04-2014,19,26.8,21.7,86,23,2.4
15-04-2014,18,27,21,87,37.1,4.2
16-04-2014,18,26,21.5,87,1.8,4.5
17-04-2014,18,28,21.7,84,80,3.3
18-04-2014,18,26.2,20.8,91,2.4,6.8
19-04-2014,19,26.2,21.7,88,18.5,4.2
20-04-2014,18,27.5,21.9,84,0,2.8
21-04-2014,19,26.2,22.4,88,0.1,4.6
22-04-2014,18,27.6,23.2,77,2.2,4
23-04-2014,19,28.6,22.9,82,10.33774296,5.9
24-04-2014,19,28,23.2,78,1.7,7.7
25-04-2014,20,27.4,22.7,86,0,8.5
26-04-2014,19,26.4,21.5,89,34.4,5.5
27-04-2014,20,24.4,21,92,3.6,3.5
28-04-2014,18,26.2,21.7,88,4.8,2.7
29-04-2014,19,25.4,21.9,90,1.9,4.6
30-04-2014,19,26.4,21.6,88,8.9,3
01-05-2014,18,25.2,21.2,89,0.5,4.5
02-05-2014,19,26.6,22.1,89,0.7,2.6
03-05-2014,19,28.7,22.2,83,3.8,4.6
04-05-2014,19,28.8,22.8,83,10.33774296,6.3
05-05-2014,19,27.4,22.8,84,10.33774296,4.8
06-05-2014,20,28.2,23.2,86,10.33774296,6.4
07-05-2014,20,27.2,22.3,88,10.33774296,6.5
08-05-2014,19,26.8,22,90,10.33774296,5.8
09-05-2014,19,27.6,22.9,89,21.4,5
10-05-2014,19,26.5,22.4,92,0.7,5.2
11-05-2014,20,25.6,21.4,92,0,2.5
12-05-2014,19,25.6,21.4,90,19.8,1.5
13-05-2014,18,27.8,22.4,82,0.3,3.7
14-05-2014,19,26.8,22,89,1,7.2
15-05-2014,19,26.8,21.2,90,6.9,5.1
16-05-2014,19,26,21.4,89,52.4,4.6
17-05-2014,19,25.2,21.2,92,18.7,4.2
18-05-2014,19,26.4,21.6,90,0.5,2.4
19-05-2014,19,25.8,20.8,87,0.9,3.4
